timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,attack
0,0.918342902,0.158941273,1,1,1,0,0,0.019709779,0.992373083,1,1,1,1,1,1,1,0.989955919,0.950408813,0.220253225,0.5,1,0.5,0.5,1,0,0,0.209965574,0,0.123045017,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
1,0.976959316,0.159544155,1,1,1,0.019085816,0,0.018844515,0.99489803,1,1,1,1,1,1,1,0.989195292,0.950790167,0.220207845,0.5,1,0.5,0.5,1,0,0,0.209965574,0,0.125159728,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
2,0.923774731,0.160347961,1,1,1,0.034124875,0.004414972,0.018844515,0.99435697,1,1,1,1,1,1,1,0.987369073,0.950790167,0.222320798,0.5,1,0.5,0.5,1,0,0,0.211845779,0,0.130578406,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
3,0.969796459,0.1609509,1,1,1,0.043377182,0.004414972,0.018363688,0.993532612,1,1,1,1,1,1,1,0.985314429,0.949700127,0.222161797,0.5,1,0.5,0.5,1,0,0,0.209965574,0,0.133882545,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
4,0.959171358,0.160325661,1,1,1,0.05552467,0.008028134,0.018363688,0.993610021,1,1,1,1,1,1,1,0.986303482,0.949890911,0.222661602,0.5,1,0.5,0.5,1,0,0,0.211219248,0,0.139609651,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
5,0.916313491,0.158405346,1,1,1,0.070561925,0.0060211,0.017498425,0.993429668,1,1,1,1,1,1,1,0.98873844,0.950245254,0.221934557,0.5,1,0.5,0.5,1,0,0,0.210592717,0,0.143442483,1,0,1,1,0,0.007755215,0.453517745,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
6,0.976123622,0.158650982,1,1,1,0.094273894,0.006824164,0.017498425,0.993017288,1,1,1,1,1,1,1,0.984934116,0.950245254,0.221979994,0.5,1,0.5,0.5,1,0,0,0.211845779,0,0.148420632,1,0,1,1,0,0.007755215,0.455205304,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
7,0.947113797,0.161442114,1,1,1,0.094273894,0.007627228,0.017498425,0.993377995,1,1,1,1,1,1,1,0.985694981,0.949972584,0.221661879,0.5,1,0.5,0.5,1,0,0,0.211845779,0,0.155667649,1,0,1,1,0,0.007755215,0.456892864,0.368584968,0.017566426,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
8,0.923954021,0.160593596,1,1,1,0.115096097,0.011641295,0.016777372,0.993558348,1,1,1,1,1,1,1,0.987977813,0.949700127,0.22556984,0.5,1,0.5,0.5,1,0,0,0.214509606,0,0.159830848,1,0,1,1,0,0.007755215,0.456892864,0.368584968,0.018016862,0.000219202,0.000191031,0.000168563,0,0,1,0.004447786,0,0.005921001,0.000147089,1,0,1,0
9,0.974631336,0.161777118,1,1,1,0.115096097,0.016660131,0.015671695,0.992476027,1,1,1,1,1,1,1,0.985314429,0.94942767,0.226910367,0.5,1,0.5,0.5,1,0,0,0.214353126,0,0.165447851,1,0,1,1,0,0.007755215,0.456892864,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.00413456,0,0.005921001,0.000147089,1,0,1,0
10,0.914642101,0.160303305,1,1,1,0.144013617,0.03813614,0.015383086,0.993764438,1,1,1,1,1,1,1,0.985238129,0.949209875,0.224501991,0.5,1,0.5,0.5,1,0,0,0.214353126,0,0.169743209,1,0,1,1,0,0.007755215,0.456892864,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.00413456,0,0.005921001,0.000147089,1,0,1,0
11,0.976720387,0.162714891,1,1,1,0.157895687,0.053391222,0.015767898,0.993506675,1,1,1,1,1,1,1,0.98249892,0.950081907,0.224183876,0.5,1,0.5,0.5,1,0,0,0.213098842,0,0.174655308,1,0,1,1,0,0.007755215,0.457229849,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004510425,0,0.005921001,0.000147089,1,0,1,0
12,0.934996783,0.162045053,1,1,1,0.165992809,0.061621062,0.017931244,0.994176616,1,1,1,1,1,1,1,0.976487827,0.949809238,0.223797635,0.5,1,0.5,0.5,1,0,0,0.213098842,0,0.178289758,1,0,1,1,0,0.007755215,0.457229849,0.368584968,0.017630769,0.000219202,0.000191031,0.000168563,0,0,1,0.004510425,0,0.005921001,0.000147089,1,0,1,0
